קוד זיהוי,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,מס' סידורי,מס',שם אתר,ערך משנה,"נ""צ X","נ""צ Y",אזור,תת אזור,חופר,מחבר הערך,תקופה כללי,תק' מעבר,תק' מיוצגת,תארוך ממצא,סוג ממצא,סוג אתר,אופי אתר,גודל אתר,גודל חפירה,הערות,הפניה
2,1,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,"ב""ת 2",,"ב""ת 2","1600 לפנה""ס",קרמיקה בלבד,תל,,כ-15 ד',,,"כרך 1, עמ' 1-4"
3,2,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,"ב""מ",,"ב""מ","1400לפנה""ס עד השושלת ה-19 במצריים",ארכיטקטורה+ מבני ציבור,תל,עירוני,כ-15 ד',,,"כרך 1, עמ' 1-4"
4,3,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,ברזל 1,,ברזל 1,"1100 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,כ-15 ד',,,"כרך 1, עמ' 1-4"
5,4,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,ברזל 2,,ברזל 2,"מאה 10-9 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,כ-15 ד',,,"כרך 1, עמ' 1-4"
6,5,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,פרסית,הוגדר כפרסי הלניסטי אך נראה שיש את שתי התק',פרסית,"מאה 6- 332 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,כ-15 ד',,הוגדר כפרסי הלניסטי אך נראה שיש את שתי התק' (גם לפי  מחבר הערך),"כרך 1, עמ' 1-4"
7,6,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,הלניסטית,,הלניסטית,,קרמיקה בלבד,תל,,כ-15 ד',,"מציין שנמצאה קרמיקה  בשפכים שעל פני התל וכי ""המבנים שרדו במצב השתמרות גרוע שלא אפשר את מיפויים""","כרך 1, עמ' 1-4"
8,7,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,רומית,,רומית,,קרמיקה בלבד,תל,,כ-15 ד',,"מציין שנמצאה קרמיקה  בשפכים שעל פני התל וכי ""המבנים שרדו במצב השתמרות גרוע שלא אפשר את מיפויים""","כרך 1, עמ' 1-4"
9,8,1,אבו הואם,,152100,245200,מ. החוף,מ. חוף הכרמל,ז' בלנסי,ל' גרשוני,ימי הביניים,,ערבית קדומה,,קרמיקה בלבד,תל,,כ-15 ד',,"מציין שנמצאה קרמיקה  בשפכים שעל פני התל וכי ""המבנים שרדו במצב השתמרות גרוע שלא אפשר את מיפויים""","כרך 1, עמ' 1-4"
10,9,2,אבו טוין,,158500,119300,יהודה,הר יהודה,ע' מזר,ע' מזר,ברזל 2,,ברזל 2,"מאות 8-7 לפנה""ס",ארכיטקטורה+ מבני ציבור,ח'ירבה,מצודה+כפר,,29.50X31,,"כרך 1, עמ' 4-5"
