קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
1,"עפ""י אתר","עפ""י החפירה",שם האתר,נ.צ,איזור,שם החופר,תאריכי החפירה,תקופות מיוצגות,תיארוך הממצא,סוג האתר,אופי האתר,גודל האתר,גודל חפירה,סוג ממצא,הערות מיוחדות,ביבליוגרפיה,מטבעות,,,,,,,,,,,תקופה,איזור,סוג האתר,אופי האתר,סוג הממצא
2,1,1,א-נקורה,16891/18441,שומרון,מהריאן איל,5-6.1996,הלניסטית,,מערה,כפרי?,,,שרידי בנייה,,חא 112 עמ 61-62,,,,,,,,,,,,,,,,
3,1,1,א-נקורה,16891/18441,שומרון,מהריאן איל,5-6.1996,רומית,,מערה,כפרי?,,,שרידי בנייה,,חא 112 עמ 61-62,,,,,,,,,,,,,,,,
4,1,1,א-נקורה,16891/18441,שומרון,מהריאן איל,5-6.1996,רומית - ביזנטית,מאה 3-4 לספירה,מערה,כפרי?,,,שרידי בנייה,שברים מעטים של כלי זכוכית,חא 112 עמ 61-62,,,,,,,,,,,,,,,,
5,1,1,א-נקורה,16891/18441,שומרון,מהריאן איל,5-6.1996,מוסלמי קדום,מאה 8 לספירה,מערה,כפרי?,,,שרידי בנייה,שבר נר מעוטר,חא 112 עמ 61-62,,,,,,,,,,פליאולית תחתון,אצבע הגליל,תל,כפרי,שרידי בנייה,,
6,1666,1805,א-סואפיר אל ערביה,12225/12320,חוף הים הדרומי,לנדר ישעיהו,9.1997,ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 113, עמ' 156-157",,,,,,,,,,פליאולית תיכון,רמת הגולן,מרגלות תל,עירוני,מתקן,,
7,1667,1739,א-ראמה,18450-1/26010-1,גליל עליון,אבו עוקסא הנא,6-7.1997,ביזנטית,מאה 5-6 לספירה,חירבה,עירוני,,20 *4.5,שרידי בנייה,,"חא 113, עמ' 10-11",,,,,,,,,,פליאולית עליון,גליל עליון,חירבה,קבר,קרמיקה בלבד,,
8,2,2,א-ראמה (מזרח),18545/26036,גליל עליון,איזנברג מיכאל,3.1998,רומית,מאה 3 לספירה,מערה,קבר,,,קבר,לא נתגלה ממצא מתארך פרט לכתובת ארמית מהמאה ה3 לספירה.,"חא 111, עמ 12-13",,,,,,,,,,אפי פליאולית,גליל תחתון,שרידים חקלאיים,שרידים חקלאיים,קבר,,
9,1668,1736,א-שוהרה,1914/2747,גליל עליון,אביעם מרדכי ואמיתי אהרוני,5-6.1996,הלניסטית,"מאה 3-2 לפנה""ס",חירבה,כפרי,,,שרידי בנייה,,"חא 113, עמ' 3-4",,,,,,,,,,"ניאולית ק""ק א'",עמק החולה,מערה,מערה,כלי זכוכית,,
10,1668,1736,א-שוהרה,1914/2747,גליל עליון,אביעם מרדכי ואמיתי אהרוני,5-6.1996,פרסית,,חירבה,כפרי?,,,שרידי בנייה,בורות חצובים,"חא 113, עמ' 3-4",yes,,,,,,,,,"ניאולית ק""'ק ב'",עמק יזרעאל,בית קברות,כפרי?,צור בלבד,,
11,3,3,אבו סנאן,1663/2632,גליל עליון,אביעם מוטי,9.1993,ברונזה תיכונה 1,,מערה,קבר,,,קבר,,"חא 103, עמ 109",,,,,,,,,,"ניאולית ק""ק",חוף הים הצפוני,אמת מים,,קרמיקה וצור,,
12,4,4,אבו עוש,16038/13543,יהודה,מרדר עפר ואחרים,"3-4,10-12.1995",ניאולית קק ב,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 99-100",,,,,,,,,,ניאולית קראמית א',חוף הים הדרומי,דרך,,כלי מתכת,,
13,4,4,אבו עוש,16038/13543,יהודה,מרדר עפר ואחרים,"3-4,10-12.1995",ניאולית קראמית,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 99-100",,,,,,,,,,ניאולית קראמית ב',שומרון,מחצבה,,,,
14,5,5,אבו פולה,"2113/2683, 2108/2667, 2112/2668",רמת הגולן,אפשטיין קלר,9.1972,ברונזה תיכונה 1,,חירבה,כפרי,,,מתקן,דולמן,"חא מד, עמ 1",,,,,,,,,,ניאולית קראמית,עמק הירדן,חומה,,,,
15,6,6,אבן מנחם,177/275,גליל עליון,אייזנברג עמנואל ודיוויס דוד,11.1974,רומית - ביזנטית,מאה 3-4 לספירה,מערה,קבר,,,קבר,,"חא נג, עמ 2-3",,,,,,,,,,כלקולית,יהודה,מנהרה,,,,
